;CAMPUS;Grao;FACULTADE;CANTIDAD;UNIVERSIDAD
5;A CORUÑA;Grao en Ciencias da Actividade Física e do Deporte;Facultade de Ciencias do Deporte e a Educación Física;597;UDC
6;A CORUÑA;Grao en Ciencias Empresariais;Facultad de Economía e Empresa;354;UDC
7;A CORUÑA;Grao en Comunicación Audiovisual;Facultade de Comunicación;275;UDC
8;A CORUÑA;Grao en Creación Dixital, Animación e Videoxogos;Facultade de Comunicación;184;UDC
9;A CORUÑA;Grao en Dereito;Facultade de Dereito;637;UDC
10;A CORUÑA;Grao en Economía;Facultad de Economía e Empresa;390;UDC
11;A CORUÑA;Grao en Educación Infantil;Facultade de Educación;548;UDC
12;A CORUÑA;Grao en Educación Primaria;Facultade de Educación;554;UDC
13;A CORUÑA;Grao en Educación Social;Facultade de Educación;341;UDC
14;A CORUÑA;Grao en Enfermaría;Facultade de Enfermaría e Podoloxía;263;UDC
15;A CORUÑA;Grao en Enxeñaría de Obras Públicas;Escola Técnica Superior de Enxeñaría;159;UDC
16;A CORUÑA;Grao en Enxeñaría Informática;Facultade de Informática;1307;UDC
17;A CORUÑA;Grao en Español: Estudos Lingüísticos e Literarios;Facultade de Filoloxía;84;UDC
18;A CORUÑA;Grao en Estudos de Arquitectura;Facultade de Enfermaría e Podoloxía;652;UDC
19;A CORUÑA;Grao en Fisioterapia;Facultade de Fisioterapia;295;UDC
20;A CORUÑA;Grao en Galego e Portugués: Estudos Lingüísticos e Literarios;Facultade de Filoloxía;35;UDC
21;A CORUÑA;Grao en Inglés: Estudos Lingüísticos e Literarios;Facultade de Filoloxía;255;UDC
22;A CORUÑA;Grao en Logopedia;Facultade de Ciencias da Educación;257;UDC
23;A CORUÑA;Grao en Máquinas Navais;Escola Técnica Superior de Enxeñaría;34;UDC
24;A CORUÑA;Grao en Nanociencia e Nanotecnoloxía;Facultade de Ciencias;100;UDC
25;A CORUÑA;Grao en Náutica e Transporte Marítimo;Escola Politécnica Superior;245;UDC
26;A CORUÑA;Grao en Paisaxe;Escola Técnica Superior de Arquitectura;18;UDC
27;A CORUÑA;Grao en Química;Facultade de Ciencias;249;UDC
28;A CORUÑA;Grao en Relacións Laborais e Recursos Humanos;Facultade de Socioloxía;261;UDC
29;A CORUÑA;Grao en Socioloxía;Facultade de Socioloxía;381;UDC
30;A CORUÑA;Grao en Tecnoloxía da Enxeñaría Civil;Escola Técnica Superior de Enxeñaría;144;UDC
31;A CORUÑA;Grao en Tecnoloxías Mariñas;Escola Politécnica Superior;78;UDC
32;A CORUÑA;Grao en Terapia Ocupacional;Facultade de Ciencias da Saúde;223;UDC
33;A CORUÑA;Grao en Turismo;Facultade de Ciencias Económicas e Empresariais;224;UDC
34;A CORUÑA;Programa de simultaneidade do Grao en Administración e Dirección de Empresas e o Grao en Dereito;Facultade de Ciencias Económicas e Empresariais + Facultade de Dereito;352;UDC
35;A CORUÑA;Programa de simultaneidade do Grao en Arquitectura Técnica e o Grao en Ciencias Empresariais ;Escola Técnica Superior de Arquitectura + Facultade de Ciencias Económicas e Empresariais;13;UDC
36;A CORUÑA;Programa de simultaneidade do Grao en Bioloxía e o Grao en Química;Facultade de Ciencias + Facultade de Ciencias;66;UDC
37;A CORUÑA;Programa de simultaneidade do Grao en Español: Estudos Lingüísticos e Literarios e o Grao en Galego e Portugués: Estudos Lingüísticos e Literarios;Facultade de Filoloxía;24;UDC
38;A CORUÑA;Programa de simultaneidade do Grao en Inglés: Estudos Lingüísticos e Literarios e o Grao en Español: Estudos Lingüísticos e Literarios;Facultade de Filoloxía;121;UDC
